Trait,# lines measured,Sex,Life_stage,Trait guild,Trait description,Reference
chlorantraniliprole.resistance.5,152,Pooled,Juvenile,Insecticide response,"Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 5 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.",Green et al (2019) PNAS
chlorantraniliprole.resistance.LC50,152,Pooled,Adult,Insecticide response,"Mean chlorantraniliprole dosage required for 50% of first instar larvae to die before eclosion. Chlorantraniliprole is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.",Green et al (2019) PNAS
deltamethrin.resistance.m,195,Male,Adult,Insecticide response,"Mean survival 48 hours after exposure to deltamethrin, a pyrethroid pesticide. Higher values indicate greater resistance to deltamethrin.",Duneau et al (2018) G3
fipronil.resistance,11,Pooled,Juvenile,Insecticide response,"Larval to adult survival on food media supplemented with 0.5PPM fipronil – an insecticide from the phenylpyrazole family, released for commercial use in 1993. Higher values indicate greater resistance.",Remnant et al (2014) Insect Biochemistry and Molecular Biology
imidacloprid.resistance.100ppm,171,Pooled,Juvenile,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 100ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
imidacloprid.resistance.25ppm,171,Pooled,Juvenile,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 25ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
malathion.mortality.12hr.f,170,Female,Adult,Insecticide response,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.12hr.m,170,Male,Adult,Insecticide response,"Mean mortality after 12 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.24hr.f,170,Female,Adult,Insecticide response,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.24hr.m,170,Male,Adult,Insecticide response,"Mean mortality after 24 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.3hr.f,170,Female,Adult,Insecticide response,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.3hr.m,170,Male,Adult,Insecticide response,"Mean mortality after 3 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.6hr.f,170,Female,Adult,Insecticide response,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
malathion.mortality.6hr.m,170,Male,Adult,Insecticide response,"Mean mortality after 6 hours of exposure to melathion, an organophosphate pesticide. Higher values indicate greater susceptibility to melathion.",Battlay et al (2018) G3
parathion.resistance.m,194,Male,Adult,Insecticide response,"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",Duneau et al (2018) G3
permethrin.knockdown.f,169,Female,Adult,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.knockdown.m,169,Male,Adult,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.mortality.24hr.f,169,Female,Adult,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.mortality.24hr.m,169,Male,Adult,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
pyriprole.resistance,11,Pooled,Juvenile,Insecticide response,"Larval to adult survival on food media supplemented with 4PPM Pyripole – an insecticide from the phenylpyrazole family, released for commercial use in 2007. Higher values indicate greater resistance.",Remnant et al (2014) Insect Biochemistry and Molecular Biology
climbing.age.decline.high.yeast.f,155,Female,Adult,Life history,Median day at which climbing performance dropped below 50% of their day 7 climbing value. Climbing was measured as the proportion of flies in a vial that climbed above a line drawn 6cm from the bottom of the vial. Mated females were kept as adults on a diet containing 5% yeast. Higher values indicate a slower age related decline in climbing performance. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al (2020) Current Biology
climbing.age.decline.low.yeast.f,155,Female,Adult,Life history,Median day at which climbing performance dropped below 50% of their day 7 climbing value. Climbing was measured as the proportion of flies in a vial that climbed above a line drawn 6cm from the bottom of the vial. Mated females were kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate a slower age related decline in climbing performance. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al (2020) Current Biology
duration.embryogenesis,43,Pooled,Juvenile,Life history,Mean duration of embryogenesis (DOE) - from fertilisation of an egg to hatching as a larva. Higher values indicate a longer period of embryogenesis.,"Horvath, Betancourt and Kalinka (2016) BMC Evolutionary Biology"
eclosion.to.oviposition.time.16C.f,39,Female,Adult,Life history,"Estimated mean time from eclosion to laying an egg (days), when reared under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Females cohabited a food vial with two males from the same DGRP line as the female. Calculated as T= Σ(lxmx)/R0, where lx = the proportion of females surviving each day, mx = the number of eggs laid each day and R0 is the net reproductive rate (or replacment rate). Higher values indicate a longer generation time. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
eclosion.to.oviposition.time.23C.f,39,Female,Adult,Life history,"Estimated mean time from eclosion to laying an egg (days), when reared under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Females cohabited a food vial with two males from the same DGRP line as the female. Calculated as T= Σ(lxmx)/R0, where lx = the proportion of females surviving each day, mx = the number of eggs laid each day and R0 is the net reproductive rate (or replacment rate). Higher values indicate a longer generation time. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
egg.adult.dev.time.20C.f,50,Female,Juvenile,Life history,"Egg-to-adult development time when reared at 20C, recorded to the nearest 8 hours. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
egg.adult.dev.time.25C.f,50,Female,Juvenile,Life history,"Egg-to-adult development time when reared at 25C, recorded to the nearest 8 hours. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
egg.adult.dev.time.30C.f,50,Female,Juvenile,Life history,"Egg-to-adult development time when reared at 30C, recorded to the nearest 8 hours. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
egg.adult.development.time.2016.f,198,Female,Juvenile,Life history,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",Zhou et al (2016) Environmental Health Perspectives
egg.adult.development.time.2016.m,198,Male,Juvenile,Life history,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.",Zhou et al (2016) Environmental Health Perspectives
egg.adult.development.time.2018,201,Pooled,Juvenile,Life history,"Mean development time in days from egg to adult eclosion, on a standard diet. Higher values indicate a longer development time.",Morozova (2018) G3
egg.adult.development.time.EtOH.exposure,201,Pooled,Juvenile,Life history,"Mean development time in days from egg to adult eclosion, on a diet supplemented with 10% EtOH (ethanol). Higher values indicate a longer development time.",Morozova (2018) G3
egg.adult.viability.2014.25C,50,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to adulthood at 25C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
egg.adult.viability.2016,200,Pooled,Juvenile,Life history,"Mean proportion of flies surviving to adulthood, when reared at 25C on control food medium. Higher values indicate greater survival.",Zhou et al (2016) Environmental Health Perspectives
egg.adult.viability.2016.25C,27,Pooled,Juvenile,Life history,"Mean proportion of eggs that survived to adulthood, when reared at 25C. Higher values indicate greater viability.",Duun Rohde et al (2016) International Journal of Genomics
egg.adult.viability.2018,201,Pooled,Juvenile,Life history,"Percentage of flies surviving to eclosion, after development on standard food. Higher values indicate greater viability.",Morozova (2018) G3
egg.adult.viability.20C,50,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to adulthood at 20C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
egg.adult.viability.28C,26,Pooled,Juvenile,Life history,"Mean proportion of eggs that survived to adulthood, when reared at 28C. Higher values indicate greater viability.",Duun Rohde et al (2016) International Journal of Genomics
egg.adult.viability.30C,50,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to adulthood at 30C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
egg.larva.viability,43,Pooled,Juvenile,Life history,Mean proportion of eggs that hatched. Higher values indicate a greater proportion of viable eggs.,"Horvath, Betancourt and Kalinka (2016) BMC Evolutionary Biology"
egg.pupa.viability.20C,45,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to pupation at 20C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
egg.pupa.viability.25C,49,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to pupation at 25C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
egg.pupa.viability.30C,45,Pooled,Juvenile,Life history,Proportion of 75 eggs in a vial that successfully survived to pupation at 30C. Higher values indicate greater survival.,Ellis et al (2014) PLOS Genetics
eggs.per.day.16C.f,39,Female,Adult,Life history,"Average number of eggs laid per day across a female’s lifetime, when cohabiting a food vial with two males from the same DGRP line as the female. Measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Higher values indicate greater fecundity. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
eggs.per.day.23C.f,39,Female,Adult,Life history,"Average number of eggs laid per day across a female’s lifetime, when cohabiting a food vial with two males from the same DGRP line as the female. Measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Higher values indicate greater fecundity. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
fecundity.f,142,Female,Adult,Life history,"Mean number of eggs produced by single females, per day. Higher values indicate more fecund females.",Evangelou et al (2019) G3
fertilised.egg.retention.score.f,91,Female,Adult,Life history,"Mean fertilised egg retention score. An estimation of the progression of embryo development taken two hours after a one hour egg laying period. Higher values indicate more developed embryos which signifies a greater degree of egg retention. Note that both males and femlaes were sourced from the DGRP line, therefore variation could be explained by either the male or female genotype.",Horvath and Kalinka (2018) Evolution
fertility.25C.f,40,Female,Adult,Life history,Mean proportion of females that produced viable larvae. Females were reared at 25C. Higher values indicates greater fertility.,Zwoinska et al (2020) Frontiers in Genetics
fertility.25C.m,126,Male,Adult,Life history,Mean proportion of males that produced viable larvae. Males were reared at 25C. Higher values indicates greater fertility.,Zwoinska et al (2020) Frontiers in Genetics
fertility.27C.f,40,Female,Adult,Life history,Mean proportion of females that produced viable larvae. Females were reared at 27C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fertility.27C.m,124,Male,Adult,Life history,Mean proportion of males that produced viable larvae. Males were reared at 27C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fertility.29C.f,40,Female,Adult,Life history,Mean proportion of females that produced viable larvae. Females were reared at 29C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fertility.29C.m,122,Male,Adult,Life history,Mean proportion of males that produced viable larvae. Males were reared at 29C. Higher values indicates greater fertility,Zwoinska et al (2020) Frontiers in Genetics
fitness.early.life.f,125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep)
fitness.early.life.m,124,Male,Adult,Life history,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 2-3 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep)
fitness.late.life.f,125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 17-18 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep)
fitness.late.life.m,124,Male,Adult,Life history,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 14-15 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",Wong and Holman (in prep)
foraging.survival.m,201,Male,Adult,Life history,Adult mean survival when flies were provided access to food over a 5 day period. Higher values indicate greater survival and assumed greater foraging ability.,Lee et al (2017) Genome Biology and Evolution
insemination.capacity.m,33,Male,Adult,Life history,Mean proportion of 10 females that a single male successfully inseminated in 48 hours. Insemination was verified by identification of viable pupal progeny. Higher values indicate males with a greater insemination capacity.,Dean et al (2020) Evolution
lead.egg.adult.development.time.2016.f,185,Female,Juvenile,Life history,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",Zhou et al (2016) Environmental Health Perspectives
lead.egg.adult.development.time.2016.m,190,Male,Juvenile,Life history,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",Zhou et al (2016) Environmental Health Perspectives
lifespan.16C.f,39,Female,Adult,Life history,"Mean days survived, when cohabiting a food vial with two males from the same DGRP line as the female. Measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Higher values indicate greater longevity. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
lifespan.18C.f,183,Female,Adult,Life history,"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.18C.m,183,Male,Adult,Life history,"Mean adult lifespan when reared at 18C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.2019.f,191,Female,Adult,Life history,Mean lifespan in days. Higher values indicate a longer lifespan.,Houston (2019) Thesis
lifespan.23C.f,39,Female,Adult,Life history,"Mean days survived, when cohabiting a food vial with two males from the same DGRP line as the female. Measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Higher values indicate greater longevity. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
lifespan.25C.2014.f,189,Female,Adult,Life history,"Mean adult lifespan, measured as the number of days from eclosion to death, when living with a single  standard male, at 25C. Higher values indicate longer lived flies.",Durham et al (2014) Nature Communications
lifespan.25C.2015.f,197,Female,Adult,Life history,"Adult lifespan, measured in days, for virgin females. Higher values indicate greater longevity.",Ivanov et al (2015) The Journals of Gerontology: Series A
lifespan.25C.2020.f,186,Female,Adult,Life history,"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.25C.2020.m,186,Male,Adult,Life history,"Mean adult lifespan when reared at 25C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.25C.high.yeast.f,161,Female,Adult,Life history,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 5% yeast. Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al (2020) Current Biology
lifespan.25C.low.yeast.f,161,Female,Adult,Life history,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al (2020) Current Biology
lifespan.28C.f,177,Female,Adult,Life history,"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.28C.m,177,Male,Adult,Life history,"Mean adult lifespan when reared at 28C, measured in days. Higher values indicate longer-lived flies.",Huang et al (2020) PLOS Biology
lifespan.following.diapause.2019.f,197,Female,Adult,Life history,"Mean lifespan in days for virgin females following diapause induction (10 ̊C for 35 days, moved to 18 ̊C for a day of acclimation, remainder of their lives at 25 ̊C). Higher values indicate a longer lifespan.",Houston (2019) Thesis
lifespan.high.sugar.diet.f,193,Female,Adult,Life history,Mean lifespan of 20 females maintained on a high sugar diet. Means are adjusted for block effects. Higher values indicate longer lived flies.,Patel and Talbert (2021) Heliyon
lifespan.td50.m,10,Male,Adult,Life history,Mean number of days at which 50% of 20 adult flies had died in a vial filled with standard medium. Higher values indicate longer lived flies.,Everman and Morgan (2017) Evolution
lifetime.fecundity.25C.f,189,Female,Adult,Life history,"Fecundity was estimated every other week of the female’s lifespan as a 2-day total of eggs laid, when living with a single standard male, at 25C. Lifetime fecundity was estimated as the sum of all egg counts across the female's lifespan. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Durham et al (2014) Nature Communications
micro.environmental.plasticity.lifespan.18C.f,183,Female,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
micro.environmental.plasticity.lifespan.18C.m,183,Male,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 18C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
micro.environmental.plasticity.lifespan.25C.f,186,Female,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
micro.environmental.plasticity.lifespan.25C.m,186,Male,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 25C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
micro.environmental.plasticity.lifespan.28C.f,177,Female,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
micro.environmental.plasticity.lifespan.28C.m,177,Male,Adult,Life history,Mean within-line (micro-environmental) variance in lifespan at 28C. Such micro-environmental variance may be due to the plasticity of lifespan in response to unmeasured environmental variation and intrinsic variability of each individual genotype. Higher values indicate greater variance in lifespan.,Huang et al (2020) PLOS Biology
min.pupation.time.20C,45,Pooled,Juvenile,Life history,"The time elapsed from when eggs were placed into the vial until observation of the first pupal case at an 8 hour tempo resolution, at 20C. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
min.pupation.time.25C,50,Pooled,Juvenile,Life history,"The time elapsed from when eggs were placed into the vial until observation of the first pupal case at an 8 hour tempo resolution, at 25C. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
min.pupation.time.30C,45,Pooled,Juvenile,Life history,"The time elapsed from when eggs were placed into the vial until observation of the first pupal case at an 8 hour tempo resolution, at 30C. Higher values indicate a longer development time.",Ellis et al (2014) PLOS Genetics
net.reproductive.rate.16C,39,Pooled,Adult,Life history,"Mean number of eggs laid over a female's entire lifetime, when cohabiting a food vial with two males from the same DGRP line as the female. Calculated as R0= Σ(lxmx), where lx = the proportion of females surviving each day and mx = the number of eggs laid each day. Higher values indicate a higher net reproductive rate. This trait was measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
net.reproductive.rate.23C,39,Pooled,Adult,Life history,"Mean number of eggs laid over a female's entire lifetime, when cohabiting a food vial with two males from the same DGRP line as the female. Calculated as R0= Σ(lxmx), where lx = the proportion of females surviving each day and mx = the number of eggs laid each day. Higher values indicate a higher net reproductive rate. This trait was measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
pop.growth.rate.16C,39,Pooled,Adult,Life history,"Lambda. Population growth rate or intrinsic rate of increase. Defined as e^r, where r = ln(net reproductive rate) / generation time. Higher values indicate faster population growth rates. This trait was measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Populations consisted of one female and two males from the same DGRP line. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
pop.growth.rate.23C,39,Pooled,Adult,Life history,"Lambda. Population growth rate or intrinsic rate of increase. Defined as e^r, where r = ln(net reproductive rate) / generation time. Higher values indicate faster population growth rates. This trait was measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Populations consisted of one female and two males from the same DGRP line. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis"
progeny.production.f,38,Female,Adult,Life history,Mean number of progeny produced in 5 vials over 10 days by twice-mated females.,"Chow, Wolfner and Clark (2013) Genetics"
progeny.sired.by.first.male.f,38,Female,Adult,Life history,"P1 is the proportion of progeny sired by the first male to mate with a twice-mated female. In this study, a DGRP female mated with two standard males. Hence, in this study, the variation in P1 is attributed to the female genotype. Higher values indicate a greater proportion of offspring sired by the male that mated first.","Chow, Wolfner and Clark (2013) Genetics"
pupation.height,198,Pooled,Juvenile,Life history,"Mean height at which larvae pupated in a 95mm Drosophila vial, after accounting for food height. Higher values indicate higher pupation sites.","Zhang, Reeves and Tautz (2020) Molecular Ecology"
unfertilised.eggs.post.mating,91,Pooled,Adult,Life history,Proportion of unfertilised eggs produced by 3-4 flies that had been allowed to mate for at least two days beforehand. Note that flies were kept in population cages that contained both sexes from the same line during the mating period. This means that genetic variance in this trait variation could be explained by either the male or female genotype. Higher values indicate a greater proportion of unfertilised eggs.,Horvath and Kalinka (2018) Evolution
virgin.egg.retention.f,90,Female,Adult,Life history,"Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.",Akhund-Zade et al (2017) Journal of Insect Science
week1.fecundity.25C.f,189,Female,Adult,Life history,"Mean fecundity in the first week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Durham et al (2014) Nature Communications
week3.fecundity.25C.f,189,Female,Adult,Life history,"Mean fecundity in the third week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",Durham et al (2014) Nature Communications
week5.fecundity.25C.f,178,Female,Adult,Life history,"Mean fecundity in the fifth week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Durham et al (2014) Nature Communications
week7.fecundity.25C.f,135,Female,Adult,Life history,"Mean fecundity in the seventh week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",Durham et al (2014) Nature Communications
"1,2-dilinoleoyl-GPC (18:2_18:2).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPC (18:2_18:2).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPE (18:2_18:2).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-GPE (18:2_18:2).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-galactosylglycerol (18:2_18:2).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dilinoleoyl-galactosylglycerol (18:2_18:2).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPC (18:1_18:1).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPC (18:1_18:1).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPE (18:1_18:1).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dioleoyl-GPE (18:1_18:1).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dipalmitoleoyl-GPC (16:1_16:1).f",40,Female,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"1,2-dipalmitoleoyl-GPC (16:1_16:1).m",40,Male,Adult,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
