Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
CHC.2-Me-C27.m,1.8607187555873412,0.5251167667524544,0.9910403185664509,2.429796355841372,0.8286801827942997,No,No,No,No,No,CHC 2-Me-C27 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,93
"CHC.2-Me-C28 & 7,11-C29:2.f",0.5614326144237338,19.752269779507134,4.532503457814661,0.08680885749218856,0.5951435257180693,No,No,No,No,No,"CHC 2-Me-C28 & 7,11-C29:2 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,94
CHC.2-Me-C28.m,0.6400164001640016,0.9013666072489602,0.6782043213761275,0.7827298050139275,1.0230354192409004,No,No,No,No,No,CHC 2-Me-C28 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,95
"CHC.2-Me-C29 & 8,12-C30:2.f",0.6861629254926758,8.987515605493133,3.2451578668081718,0.17061750073163595,0.7408660498506241,No,No,No,No,No,"CHC 2-Me-C29 & 8,12-C30:2 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,96
CHC.2-Me-C29.m,3.048582995951417,9.695187165775401,11.260536398467433,0.48533234311177126,2.397766308428839,No,No,No,No,No,CHC 2-Me-C29 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,97
CHC.2-Me-C30.f,2.2976092333058533,2.594697820714446,3.5402951191827468,0.9305019305019305,1.4229690805672803,No,No,No,No,No,CHC 2-Me-C30 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,98
CHC.3-Me-C23.m,5.683375104427736,1.0570840833119053,3.5610034207525656,3.2182968626417083,1.0396629023625477,No,No,No,No,No,CHC 3-Me-C23 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,99
CHC.3-Me-C25 & 9-C26:1.f,9.423452768729641,0.26843190106231174,1.8308563340410473,14.518913676042677,0.36417636626259686,No,No,No,No,No,CHC 3-Me-C25 & 9-C26:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,100
CHC.3-Me-C25.m,1.4125452352231604,0.8208717423466485,1.105263157894737,1.457002457002457,0.9669123545084151,No,No,No,No,No,CHC 3-Me-C25 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,101
"CHC.3-Me-C27 & 6,10-C28:2 & 9-C28:1.f",2.491924923614142,3.00200100050025,4.317381189764041,0.8932670689859188,1.5436613509178763,No,No,No,No,No,"CHC 3-Me-C27 & 6,10-C28:2 & 9-C28:1 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,102
CHC.5-C23:1.f,5.415396952686447,0.2536237561701794,1.2237665045170256,9.498687664041995,0.4186743069371466,No,No,No,No,No,CHC 5-C23:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,103
CHC.5-C23:1.m,3.952027236149799,0.08159264517001284,0.5226494099733536,17.038331454340472,0.32785844846358847,No,No,No,No,No,CHC 5-C23:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,104
CHC.5-C24:1.f,2.1527093596059115,0.026562299499550877,0.18142213689729011,21.315202231520225,0.4851074469436662,No,No,No,No,No,CHC 5-C24:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,105
CHC.5-C24:1.m,4.324459234608985,1.7729636048526862,4.328005328005328,1.894879681563235,1.42143805043969,No,No,No,No,No,CHC 5-C24:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,106
CHC.5-C25:1.f,16.817371937639198,0.9900497512437811,6.5685903500473035,7.052340211373931,0.9911617308671139,No,No,No,No,No,CHC 5-C25:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,107
CHC.5-C25:1.m,3.2305658381808566,0.18950263920898075,0.7302909051584298,7.93854748603352,0.47139429024066226,No,No,No,No,No,CHC 5-C25:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,108
CHC.5-C27:1.f,13.349775784753364,2.978120338140229,14.92039800995025,2.5995500562429696,2.496172101256792,No,No,No,No,No,CHC 5-C27:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,109
CHC.5-Me-C25.f,2.665521191294387,1.8328611898016998,3.0588533739218673,1.3340627279358133,1.3083659510251309,No,No,No,No,No,CHC 5-Me-C25 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,110
"CHC.5,9-C25:2 & 9-C25:1.f",1.8673835125448028,0.010611419909044972,0.10116999311768754,34.634743875278396,0.5430342611469758,No,Yes,No,No,No,"CHC 5,9-C25:2 & 9-C25:1 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,111
"CHC.5,9-C27:2 & 9-C27:1.f",10.165387299371947,0.5982419338727399,3.446914952751529,7.579088471849866,0.6578971463147466,No,No,No,No,No,"CHC 5,9-C27:2 & 9-C27:1 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,112
CHC.6-C23:1.f,0.04322879311468997,0.021646127322648617,0.0032605969400551793,1.297860117765331,15.428700786254508,No,Yes,Yes,No,No,CHC 6-C23:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,113
CHC.6-C23:1.m,9.610079575596817,6.184553210597216,22.391812865497077,1.2727272727272727,3.826239540445471,No,No,No,No,No,CHC 6-C23:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,114
CHC.6-C24:1.f,1.1069265209375823,0.1383849163998577,0.28369704749679076,4.141388174807198,0.9260189053802584,No,No,No,No,No,CHC 6-C24:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,115
CHC.6-C24:1.m,8.785932721712538,3.2609853528628494,11.85140562248996,1.8612303290414878,2.461276629690046,No,No,No,No,No,CHC 6-C24:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,116
CHC.6-C26:1 & i.m,2.1520882584712373,0.5697046993034436,1.168903348244544,2.6413290851160673,0.8178633822268521,No,No,No,No,No,CHC 6-C26:1 & i (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,117
"CHC.6,10-C25:2.f",0.5115729806329712,0.0707354614200629,0.10109421237354621,3.3956043956043955,1.779445867523142,No,No,No,No,No,"CHC 6,10-C25:2 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,118
"CHC.6,10-C25:2.m",2.359227377703128,5.31163708086785,6.184553210597216,0.5805591227896868,1.7639940967132335,No,No,No,No,No,"CHC 6,10-C25:2 (M)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,119
"CHC.6,10-C26:2.f",1.225003476567932,0.0013142249202077727,0.02282170939078182,65.39004149377594,0.816762188852685,No,Yes,Yes,Yes,No,"CHC 6,10-C26:2 (F)",Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,120
CHC.7-C23:1.f,2.2414910858995136,0.2230545788105794,0.6344876902645827,5.267136701919311,0.608621244698839,No,No,No,No,No,CHC 7-C23:1 (F),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in females,121
CHC.7-C23:1.m,1.3121387283236994,0.42793395805443996,0.6699718192255506,2.227107704719645,0.8973813173162728,No,No,No,No,No,CHC 7-C23:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,122
CHC.7-C24:1.m,0.7083066410420671,0.7931189061974672,0.6580310880829016,0.9228458118014662,1.0401923633623402,No,No,No,No,No,CHC 7-C24:1 (M),Adult,CHC,22,Dembeck et al (2015) eLife,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Traits measured in males,123
